1395160336.622559,-68,90:18:7c:5e:ec:04,13
1395160336.644443,-69,90:18:7c:5e:ec:04,13
1395160336.666879,-71,90:18:7c:5e:ec:04,13
1395160336.688269,-70,90:18:7c:5e:ec:04,13
1395160341.924325,-69,90:18:7c:5e:ec:04,13
1395160341.945784,-69,90:18:7c:5e:ec:04,13
1395160341.968823,-70,90:18:7c:5e:ec:04,13
1395160341.990206,-70,90:18:7c:5e:ec:04,13
1395160345.844558,-81,e8:99:c4:6e:ca:11,13
1395160345.886286,-81,e8:99:c4:6e:ca:11,13
1395160345.929227,-80,e8:99:c4:6e:ca:11,13
1395160345.970627,-80,e8:99:c4:6e:ca:11,13
1395160346.612768,-69,90:18:7c:5e:ec:04,13
1395160346.635086,-67,90:18:7c:5e:ec:04,13
1395160346.658625,-69,90:18:7c:5e:ec:04,13
1395160346.680138,-70,90:18:7c:5e:ec:04,13
1395160351.277628,-69,90:18:7c:5e:ec:04,13
1395160351.299467,-69,90:18:7c:5e:ec:04,13
1395160351.322009,-70,90:18:7c:5e:ec:04,13
1395160351.343926,-71,90:18:7c:5e:ec:04,13
1395160356.218809,-68,90:18:7c:5e:ec:04,13
1395160356.240163,-67,90:18:7c:5e:ec:04,13
1395160356.262706,-70,90:18:7c:5e:ec:04,13
1395160356.284214,-69,90:18:7c:5e:ec:04,13
1395160361.108893,-68,90:18:7c:5e:ec:04,13
1395160361.130731,-68,90:18:7c:5e:ec:04,13
1395160361.153228,-72,90:18:7c:5e:ec:04,13
1395160361.174732,-70,90:18:7c:5e:ec:04,13
1395160362.813400,-92,14:7d:c5:a8:3c:56,13
1395160364.530036,-94,4c:b1:99:d3:a3:91,13
1395160366.541679,-68,90:18:7c:5e:ec:04,13
1395160366.562728,-67,90:18:7c:5e:ec:04,13
1395160366.585590,-71,90:18:7c:5e:ec:04,13
1395160366.606989,-69,90:18:7c:5e:ec:04,13
1395160372.115505,-69,90:18:7c:5e:ec:04,13
1395160372.136885,-69,90:18:7c:5e:ec:04,13
1395160372.159799,-71,90:18:7c:5e:ec:04,13
1395160372.181180,-69,90:18:7c:5e:ec:04,13
1395160382.772647,-68,90:18:7c:5e:ec:04,13
1395160382.794227,-69,90:18:7c:5e:ec:04,13
1395160382.817289,-69,90:18:7c:5e:ec:04,13
1395160382.838747,-70,90:18:7c:5e:ec:04,13
1395160382.863091,-70,00:24:2b:14:e1:5b,13
